PRED,PETD,CLDD,DTRD,TMPD,TMND,TMXD,VAPD,WETD
7,5.4,30.6,10.6,19.8,14.5,25.1,15.8,2.4
10.6,5.3,27.3,11.5,20.5,14.8,26.3,16.5,3.14
37.7,4,34.2,10.5,18.3,13.1,23.6,14.7,5.64
42.1,2.8,39.4,9.8,16.3,11.4,21.2,13.3,7.58
114,1.8,48.6,8,13.8,9.8,17.8,12.1,12.66
197.9,1.6,47.6,7.9,13.5,9.6,17.5,11.8,13.55
49.6,1.8,36.3,11,12.3,6.8,17.8,10.5,7.6
41.9,2.1,44.7,9,12.2,7.7,16.7,10.6,8.6
25.5,3,41.2,10.7,14.2,8.9,19.6,11.7,7.12
23.3,3.9,40.8,10.2,15.9,10.8,21,12.8,8
2.4,5,36,10.8,18.8,13.4,24.2,14.8,0.93
23.9,5.3,35.9,10.3,19.8,14.7,25,16,7.26
41.8,5.3,32.3,9.7,19.7,14.9,24.6,15.9,6.71
9.7,5.1,27.6,11.4,19.9,14.2,25.6,15.8,3.4
24.5,4,34.1,9.9,19.4,14.5,24.4,16.1,4.23
23.7,2.9,42.3,10.1,17.2,12.2,22.3,14.2,6.89
64.4,1.8,49,8.4,13.5,9.3,17.7,11.8,9.59
142,1.7,51,8.3,13.4,9.3,17.6,11.5,12.94
59.3,1.8,43.7,9.8,13.3,8.4,18.2,11.5,9.79
107.8,2.2,44.7,10.1,12.8,7.8,17.9,11,13.8
128.4,2.5,48.8,8.6,13.2,8.9,17.5,11.7,14.99
26.3,3.4,40.5,10.2,13.5,8.4,18.6,11.3,6.64
0.1,4.9,35.5,10.7,17.9,12.6,23.3,14.1,0
10.9,5,34.7,10.5,18.2,13,23.5,14.6,4.11
13.8,5.3,29.7,10.7,19.6,14.3,25,15.8,4.72
42.6,4.7,31.4,9.6,19.6,14.8,24.4,16.4,6.59
48.6,4,30.6,10.2,18.8,13.7,23.9,15.4,5.54
85.1,2.9,36.9,10.3,16.7,11.6,21.9,13.8,9.88
31.2,2.3,33.8,11.4,15.1,9.4,20.8,12,7.59
326.5,1.2,58.8,5.7,12.8,10,15.7,12.3,19.33
90.1,1.6,41.4,9,12.2,7.7,16.7,11,11.96
132.2,2,46.6,8.5,12.1,7.9,16.4,10.7,15.88
39.5,2.6,44.6,8.5,13,8.8,17.3,11.4,9.4
124.5,3.6,44.2,9.2,14.8,10.2,19.4,12.1,14.01
32.2,4.3,41,9.4,16.1,11.4,20.8,12.9,7.44
3.9,5.5,29.9,10.5,18.9,13.7,24.2,14.6,2.62
33.6,5.6,33.2,10.5,21.6,16.4,26.9,17.9,4.74
5.3,5.1,27.9,11.1,19.8,14.3,25.4,15.7,1.62
11,4.1,34.6,10.3,19.5,14.4,24.7,16,3.35
11.8,2.9,39,10.9,16.3,10.9,21.8,13.2,4.43
30.3,2.1,44.3,10.3,14.9,9.8,20.1,12.5,6.47
91.7,1.7,48.4,9,13.8,9.3,18.3,11.9,11.13
133.1,1.5,55.5,8.4,11.7,7.5,15.9,10.7,13.32
163,2,48.6,8.6,12.4,8.1,16.7,11,17.07
40.5,2.7,50.8,8.6,14.8,10.5,19.1,12.7,9.15
16.4,3.8,45,9.8,16.5,11.6,21.4,13.5,5.38
55.2,4.7,41.3,10,18.6,13.6,23.6,15,8.64
34.3,5.3,35,10.2,19.6,14.5,24.7,15.8,7.76
1.9,5.4,31.4,10,20.2,15.2,25.2,16.4,0.85
58,4.7,32.6,9.5,19.4,14.7,24.2,15.9,8.25
3.6,4.1,30.1,10,19,14,24,15.4,1.77
28.7,3,39,11.2,16.5,10.9,22.1,13,5.94
58.2,2.2,43.7,10.4,15.6,10.4,20.8,12.8,8.64
158.4,1.5,53.6,8,12.1,8.1,16.1,10.8,14.38
89.1,1.7,40.3,9.9,12.3,7.4,17.3,10.8,10.44
122.4,2,46.4,8.9,11.4,7,15.9,10.2,13.82
48,2.6,48.2,9.3,12.4,7.8,17.1,10.7,9.81
55.8,3.6,47.2,9.5,14.8,10.1,19.6,12.1,9.19
48.7,4.2,42.6,8.5,16.2,12,20.5,13.1,8.15
7.5,5.3,34.8,10.3,19.4,14.3,24.6,15.4,2.67
34.3,5.3,31.1,10.3,19.9,14.8,25.1,16.1,6.27
42.8,4.7,34.3,9.8,19.2,14.3,24.1,15.7,7.25
73.4,3.8,35.5,9.7,18.2,13.4,23.1,14.9,8.26
66.8,2.7,45.6,8.7,16.9,12.6,21.3,14.3,8.68
96.2,1.9,42.6,9.2,13.8,9.2,18.4,11.8,10.87
76.8,1.7,37.4,10.6,11.8,6.5,17.1,10,9.89
